id_number,pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_1,egg_type_2,percentage_male,egg_cycles
16,12,Butterfree,1,Normal,Butterfly Pokémon,Bug,Flying,1.1,32,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,45,70,178,Medium Fast,Bug,,50,15
17,13,Weedle,1,Normal,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,Shield Dust,,Run Away,40,35,30,20,20,50,255,70,39,Medium Fast,Bug,,50,15
18,14,Kakuna,1,Normal,Cocoon Pokémon,Bug,Poison,0.6,10,Shed Skin,,,45,25,50,25,25,35,120,70,72,Medium Fast,Bug,,50,15
19,15,Beedrill,1,Normal,Poison Bee Pokémon,Bug,Poison,1,29.5,Swarm,,Sniper,65,90,40,45,80,75,45,70,178,Medium Fast,Bug,,50,15
20,15,Mega Beedrill,1,Normal,Poison Bee Pokémon,Bug,Poison,1.4,40.5,Adaptability,,,65,150,40,15,80,145,45,70,223,Medium Fast,Bug,,50,15
21,16,Pidgey,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,255,70,50,Medium Slow,Flying,,50,15
22,17,Pidgeotto,1,Normal,Bird Pokémon,Normal,Flying,1.1,30,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,120,70,122,Medium Slow,Flying,,50,15
23,18,Pidgeot,1,Normal,Bird Pokémon,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,45,70,216,Medium Slow,Flying,,50,15
24,18,Mega Pidgeot,1,Normal,Bird Pokémon,Normal,Flying,2.2,50.5,No Guard,,,83,80,80,135,80,121,45,70,261,Medium Slow,Flying,,50,15
25,19,Rattata,1,Normal,Mouse Pokémon,Normal,,0.3,3.5,Run Away,Guts,Hustle,30,56,35,25,35,72,255,70,51,Medium Fast,Field,,50,15
26,19,Alolan Rattata,1,Normal,Mouse Pokémon,Dark,Normal,0.3,3.8,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,255,70,51,Medium Fast,Field,,50,15
27,20,Raticate,1,Normal,Mouse Pokémon,Normal,,0.7,18.5,Run Away,Guts,Hustle,55,81,60,50,70,97,127,70,145,Medium Fast,Field,,50,15
28,20,Alolan Raticate,1,Normal,Mouse Pokémon,Dark,Normal,0.7,25.5,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,127,70,145,Medium Fast,Field,,50,15
29,21,Spearow,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,2,Keen Eye,,Sniper,40,60,30,31,31,70,255,70,52,Medium Fast,Flying,,50,15
30,22,Fearow,1,Normal,Beak Pokémon,Normal,Flying,1.2,38,Keen Eye,,Sniper,65,90,65,61,61,100,90,70,155,Medium Fast,Flying,,50,15
31,23,Ekans,1,Normal,Snake Pokémon,Poison,,2,6.9,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,255,70,58,Medium Fast,Dragon,Field,50,20
32,24,Arbok,1,Normal,Cobra Pokémon,Poison,,3.5,65,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,90,70,157,Medium Fast,Dragon,Field,50,20
33,25,Pikachu,1,Normal,Mouse Pokémon,Electric,,0.4,6,Static,,Lightning Rod,35,55,40,50,50,90,190,70,112,Medium Fast,Fairy,Field,50,10
34,25,Partner Pikachu,1,Normal,Mouse Pokémon,Electric,,0.4,6,,,Lightning Rod,45,80,50,75,60,120,190,70,112,Medium Fast,,,50,10
35,26,Raichu,1,Normal,Mouse Pokémon,Electric,,0.8,30,Static,,Lightning Rod,60,90,55,90,80,110,75,70,218,Medium Fast,Fairy,Field,50,10
36,26,Alolan Raichu,1,Normal,Mouse Pokémon,Electric,Psychic,0.7,21,Surge Surfer,,,60,85,50,95,85,110,75,70,218,Medium Fast,Fairy,Field,50,10
37,27,Sandshrew,1,Normal,Mouse Pokémon,Ground,,0.6,12,Sand Veil,,Sand Rush,50,75,85,20,30,40,255,70,60,Medium Fast,Field,,50,20
38,27,Alolan Sandshrew,1,Normal,Mouse Pokémon,Ice,Steel,0.7,40,Snow Cloak,,Slush Rush,50,75,90,10,35,40,255,70,60,Medium Fast,Field,,50,20
39,28,Sandslash,1,Normal,Mouse Pokémon,Ground,,1,29.5,Sand Veil,,Sand Rush,75,100,110,45,55,65,90,70,158,Medium Fast,Field,,50,20
40,28,Alolan Sandslash,1,Normal,Mouse Pokémon,Ice,Steel,1.2,55,Snow Cloak,,Slush Rush,75,100,120,25,65,65,90,70,158,Medium Fast,Field,,50,20
41,29,Nidoran♀,1,Normal,Poison Pin Pokémon,Poison,,0.4,7,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,235,70,55,Medium Slow,Field,Monster,0,20
42,30,Nidorina,1,Normal,Poison Pin Pokémon,Poison,,0.8,20,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,120,70,128,Medium Slow,Undiscovered,,0,20
43,31,Nidoqueen,1,Normal,Drill Pokémon,Poison,Ground,1.3,60,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,45,70,227,Medium Slow,Undiscovered,,0,20
44,32,Nidoran♂,1,Normal,Poison Pin Pokémon,Poison,,0.5,9,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,235,70,55,Medium Slow,Field,Monster,100,20
45,33,Nidorino,1,Normal,Poison Pin Pokémon,Poison,,0.9,19.5,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,120,70,128,Medium Slow,Field,Monster,100,20
46,34,Nidoking,1,Normal,Drill Pokémon,Poison,Ground,1.4,62,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,45,70,227,Medium Slow,Field,Monster,100,20
47,35,Clefairy,1,Normal,Fairy Pokémon,Fairy,,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,150,140,113,Fast,Fairy,,25,10
48,36,Clefable,1,Normal,Fairy Pokémon,Fairy,,1.3,40,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,25,140,217,Fast,Fairy,,25,10
49,37,Vulpix,1,Normal,Fox Pokémon,Fire,,0.6,9.9,Flash Fire,,Drought,38,41,40,50,65,65,190,70,60,Medium Fast,Field,,25,20
50,37,Alolan Vulpix,1,Normal,Fox Pokémon,Ice,,0.6,9.9,Snow Cloak,,Snow Warning,38,41,40,50,65,65,190,70,60,Medium Fast,Field,,25,20
51,38,Ninetales,1,Normal,Fox Pokémon,Fire,,1.1,19.9,Flash Fire,,Drought,73,76,75,81,100,100,75,70,177,Medium Fast,Field,,25,20
52,38,Alolan Ninetales,1,Normal,Fox Pokémon,Ice,Fairy,1.1,19.9,Snow Cloak,,Snow Warning,73,67,75,81,100,109,75,70,177,Medium Fast,Field,,25,20
53,39,Jigglypuff,1,Normal,Balloon Pokémon,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,170,70,95,Fast,Fairy,,25,10
54,40,Wigglytuff,1,Normal,Balloon Pokémon,Normal,Fairy,1,12,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,50,70,196,Fast,Fairy,,25,10
55,41,Zubat,1,Normal,Bat Pokémon,Poison,Flying,0.8,7.5,Inner Focus,,Infiltrator,40,45,35,30,40,55,255,70,49,Medium Fast,Flying,,50,15
56,42,Golbat,1,Normal,Bat Pokémon,Poison,Flying,1.6,55,Inner Focus,,Infiltrator,75,80,70,65,75,90,90,70,159,Medium Fast,Flying,,50,15
57,43,Oddish,1,Normal,Weed Pokémon,Grass,Poison,0.5,5.4,Chlorophyll,,Run Away,45,50,55,75,65,30,255,70,64,Medium Slow,Grass,,50,20
58,44,Gloom,1,Normal,Weed Pokémon,Grass,Poison,0.8,8.6,Chlorophyll,,Stench,60,65,70,85,75,40,120,70,138,Medium Slow,Grass,,50,20
59,45,Vileplume,1,Normal,Flower Pokémon,Grass,Poison,1.2,18.6,Chlorophyll,,Effect Spore,75,80,85,110,90,50,45,70,221,Medium Slow,Grass,,50,20
60,46,Paras,1,Normal,Mushroom Pokémon,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,190,70,57,Medium Fast,Bug,Grass,50,20
61,47,Parasect,1,Normal,Mushroom Pokémon,Bug,Grass,1,29.5,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,75,70,142,Medium Fast,Bug,Grass,50,20
62,48,Venonat,1,Normal,Insect Pokémon,Bug,Poison,1,30,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,190,70,61,Medium Fast,Bug,,50,20
63,49,Venomoth,1,Normal,Poison Moth Pokémon,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,75,70,158,Medium Fast,Bug,,50,20
64,50,Diglett,1,Normal,Mole Pokémon,Ground,,0.2,0.8,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,255,70,53,Medium Fast,Field,,50,20
65,50,Alolan Diglett,1,Normal,Mole Pokémon,Ground,Steel,0.2,1,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,255,70,53,Medium Fast,Field,,50,20
66,51,Dugtrio,1,Normal,Mole Pokémon,Ground,,0.7,33.3,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,50,70,149,Medium Fast,Field,,50,20
67,51,Alolan Dugtrio,1,Normal,Mole Pokémon,Ground,Steel,0.7,66.6,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,50,70,149,Medium Fast,Field,,50,20
68,52,Meowth,1,Normal,Scratch Cat Pokémon,Normal,,0.4,4.2,Pickup,Technician,Unnerve,40,45,35,40,40,90,255,70,58,Medium Fast,Field,,50,20
69,52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,Dark,,0.4,4.2,Pickup,Technician,Rattled,40,35,35,50,40,90,255,70,58,Medium Fast,Field,,50,20
70,52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,Steel,,0.4,7.5,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40,,,,Medium Fast,Field,,,20
71,53,Persian,1,Normal,Classy Cat Pokémon,Normal,,1,32,Limber,Technician,Unnerve,65,70,60,65,65,115,90,70,154,Medium Fast,Field,,50,20
72,53,Alolan Persian,1,Normal,Classy Cat Pokémon,Dark,,1.1,33,Fur Coat,Technician,Rattled,65,60,60,75,65,115,90,70,154,Medium Fast,Field,,50,20
73,54,Psyduck,1,Normal,Duck Pokémon,Water,,0.8,19.6,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,190,70,64,Medium Fast,Field,Water 1,50,20
74,55,Golduck,1,Normal,Duck Pokémon,Water,,1.7,76.6,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,75,70,175,Medium Fast,Field,Water 1,50,20
75,56,Mankey,1,Normal,Pig Monkey Pokémon,Fighting,,0.5,28,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,190,70,61,Medium Fast,Field,,50,20
76,57,Primeape,1,Normal,Pig Monkey Pokémon,Fighting,,1,32,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,75,70,159,Medium Fast,Field,,50,20
77,58,Growlithe,1,Normal,Puppy Pokémon,Fire,,0.7,19,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,190,70,70,Slow,Field,,75,20
78,59,Arcanine,1,Normal,Legendary Pokémon,Fire,,1.9,155,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,75,70,194,Slow,Field,,75,20
79,60,Poliwag,1,Normal,Tadpole Pokémon,Water,,0.6,12.4,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,255,70,60,Medium Slow,Water 1,,50,20
80,61,Poliwhirl,1,Normal,Tadpole Pokémon,Water,,1,20,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,120,70,135,Medium Slow,Water 1,,50,20
81,62,Poliwrath,1,Normal,Tadpole Pokémon,Water,Fighting,1.3,54,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,45,70,230,Medium Slow,Water 1,,50,20
82,63,Abra,1,Normal,Psi Pokémon,Psychic,,0.9,19.5,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,200,70,62,Medium Slow,Human-Like,,75,20
83,64,Kadabra,1,Normal,Psi Pokémon,Psychic,,1.3,56.5,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,100,70,140,Medium Slow,Human-Like,,75,20
84,65,Alakazam,1,Normal,Psi Pokémon,Psychic,,1.5,48,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,50,70,225,Medium Slow,Human-Like,,75,20
85,65,Mega Alakazam,1,Normal,Psi Pokémon,Psychic,,1.2,48,Trace,,,55,50,65,175,105,150,50,70,270,Medium Slow,Human-Like,,75,20
86,66,Machop,1,Normal,Superpower Pokémon,Fighting,,0.8,19.5,Guts,No Guard,Steadfast,70,80,50,35,35,35,180,70,61,Medium Slow,Human-Like,,75,20
87,67,Machoke,1,Normal,Superpower Pokémon,Fighting,,1.5,70.5,Guts,No Guard,Steadfast,80,100,70,50,60,45,90,70,142,Medium Slow,Human-Like,,75,20
88,68,Machamp,1,Normal,Superpower Pokémon,Fighting,,1.6,130,Guts,No Guard,Steadfast,90,130,80,65,85,55,45,70,227,Medium Slow,Human-Like,,75,20
89,69,Bellsprout,1,Normal,Flower Pokémon,Grass,Poison,0.7,4,Chlorophyll,,Gluttony,50,75,35,70,30,40,255,70,60,Medium Slow,Grass,,50,20
90,70,Weepinbell,1,Normal,Flycatcher Pokémon,Grass,Poison,1,6.4,Chlorophyll,,Gluttony,65,90,50,85,45,55,120,70,137,Medium Slow,Grass,,50,20
91,71,Victreebel,1,Normal,Flycatcher Pokémon,Grass,Poison,1.7,15.5,Chlorophyll,,Gluttony,80,105,65,100,70,70,45,70,221,Medium Slow,Grass,,50,20
92,72,Tentacool,1,Normal,Jellyfish Pokémon,Water,Poison,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,190,70,67,Slow,Water 3,,50,20
93,73,Tentacruel,1,Normal,Jellyfish Pokémon,Water,Poison,1.6,55,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,60,70,180,Slow,Water 3,,50,20
94,74,Geodude,1,Normal,Rock Pokémon,Rock,Ground,0.4,20,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,255,70,60,Medium Slow,Mineral,,50,15
95,74,Alolan Geodude,1,Normal,Rock Pokémon,Rock,Electric,0.4,20.3,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20,255,70,60,Medium Slow,Mineral,,50,15
96,75,Graveler,1,Normal,Rock Pokémon,Rock,Ground,1,105,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,120,70,137,Medium Slow,Mineral,,50,15
97,75,Alolan Graveler,1,Normal,Rock Pokémon,Rock,Electric,1,110,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35,120,70,137,Medium Slow,Mineral,,50,15
98,76,Golem,1,Normal,Megaton Pokémon,Rock,Ground,1.4,300,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,45,70,223,Medium Slow,Mineral,,50,15
99,76,Alolan Golem,1,Normal,Megaton Pokémon,Rock,Electric,1.7,316,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45,45,70,223,Medium Slow,Mineral,,50,15
100,77,Ponyta,1,Normal,Fire Horse Pokémon,Fire,,1,30,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,190,70,82,Medium Fast,Field,,50,20
101,77,Galarian Ponyta,1,Normal,Unique Horn Pokémon,Psychic,,0.8,24,Run Away,Pastel Veil,Anticipation,50,85,55,65,65,90,,,,Medium Fast,Field,,,20
102,78,Rapidash,1,Normal,Fire Horse Pokémon,Fire,,1.7,95,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,60,70,175,Medium Fast,Field,,50,20
103,78,Galarian Rapidash,1,Normal,Unique Horn Pokémon,Psychic,Fairy,1.7,80,Run Away,Pastel Veil,Anticipation,65,100,70,80,80,105,,,,Medium Fast,Field,,,20
104,79,Slowpoke,1,Normal,Dopey Pokémon,Water,Psychic,1.2,36,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,190,70,63,Medium Fast,Monster,Water 1,50,20
105,80,Slowbro,1,Normal,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,75,70,172,Medium Fast,Monster,Water 1,50,20
106,80,Mega Slowbro,1,Normal,Hermit Crab Pokémon,Water,Psychic,2,120,Shell Armor,,,95,75,180,130,80,30,75,70,207,Medium Fast,Monster,Water 1,50,20
107,81,Magnemite,1,Normal,Magnet Pokémon,Electric,Steel,0.3,6,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,190,70,65,Medium Fast,Mineral,,,20
108,82,Magneton,1,Normal,Magnet Pokémon,Electric,Steel,1,60,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,60,70,163,Medium Fast,Mineral,,,20
109,83,Farfetch'd,1,Normal,Wild Duck Pokémon,Normal,Flying,0.8,15,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,45,70,132,Medium Fast,Field,Flying,50,20
110,83,Galarian Farfetch'd,1,Normal,Wild Duck Pokémon,Fighting,,0.8,42,Steadfast,,Scrappy,52,95,55,58,62,55,,,,Medium Fast,Field,Flying,,20
111,84,Doduo,1,Normal,Twin Bird Pokémon,Normal,Flying,1.4,39.2,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,190,70,62,Medium Fast,Flying,,50,20
112,85,Dodrio,1,Normal,Triple Bird Pokémon,Normal,Flying,1.8,85.2,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,45,70,165,Medium Fast,Flying,,50,20
113,86,Seel,1,Normal,Sea Lion Pokémon,Water,,1.1,90,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,190,70,65,Medium Fast,Field,Water 1,50,20
114,87,Dewgong,1,Normal,Sea Lion Pokémon,Water,Ice,1.7,120,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,75,70,166,Medium Fast,Field,Water 1,50,20
115,88,Grimer,1,Normal,Sludge Pokémon,Poison,,0.9,30,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,190,70,65,Medium Fast,Amorphous,,50,20
116,88,Alolan Grimer,1,Normal,Sludge Pokémon,Poison,Dark,0.7,42,Poison Touch,Gluttony,Power of Alchemy,80,80,50,40,50,25,190,70,65,Medium Fast,Amorphous,,50,20
117,89,Muk,1,Normal,Sludge Pokémon,Poison,,1.2,30,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,75,70,175,Medium Fast,Amorphous,,50,20
118,89,Alolan Muk,1,Normal,Sludge Pokémon,Poison,Dark,1,52,Poison Touch,Gluttony,Power of Alchemy,105,105,75,65,100,50,75,70,175,Medium Fast,Amorphous,,50,20
119,90,Shellder,1,Normal,Bivalve Pokémon,Water,,0.3,4,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,190,70,61,Slow,Water 3,,50,20
120,91,Cloyster,1,Normal,Bivalve Pokémon,Water,Ice,1.5,132.5,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,60,70,184,Slow,Water 3,,50,20
121,92,Gastly,1,Normal,Gas Pokémon,Ghost,Poison,1.3,0.1,Levitate,,,30,35,30,100,35,80,190,70,62,Medium Slow,Amorphous,,50,20
122,93,Haunter,1,Normal,Gas Pokémon,Ghost,Poison,1.6,0.1,Levitate,,,45,50,45,115,55,95,90,70,142,Medium Slow,Amorphous,,50,20
123,94,Gengar,1,Normal,Shadow Pokémon,Ghost,Poison,1.5,40.5,Cursed Body,,,60,65,60,130,75,110,45,70,225,Medium Slow,Amorphous,,50,20
124,94,Mega Gengar,1,Normal,Shadow Pokémon,Ghost,Poison,1.4,40.5,Shadow Tag,,,60,65,80,170,95,130,45,70,270,Medium Slow,Amorphous,,50,20
125,95,Onix,1,Normal,Rock Snake Pokémon,Rock,Ground,8.8,210,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,45,70,77,Medium Fast,Mineral,,50,25
126,96,Drowzee,1,Normal,Hypnosis Pokémon,Psychic,,1,32.4,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,190,70,66,Medium Fast,Human-Like,,50,20
127,97,Hypno,1,Normal,Hypnosis Pokémon,Psychic,,1.6,75.6,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,75,70,169,Medium Fast,Human-Like,,50,20
128,98,Krabby,1,Normal,River Crab Pokémon,Water,,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,225,70,65,Medium Fast,Water 3,,50,20
129,99,Kingler,1,Normal,Pincer Pokémon,Water,,1.3,60,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,60,70,166,Medium Fast,Water 3,,50,20
130,100,Voltorb,1,Normal,Ball Pokémon,Electric,,0.5,10.4,Soundproof,Static,Aftermath,40,30,50,55,55,100,190,70,66,Medium Fast,Mineral,,,20
131,101,Electrode,1,Normal,Ball Pokémon,Electric,,1.2,66.6,Soundproof,Static,Aftermath,60,50,70,80,80,150,60,70,172,Medium Fast,Mineral,,,20
132,102,Exeggcute,1,Normal,Egg Pokémon,Grass,Psychic,0.4,2.5,Chlorophyll,,Harvest,60,40,80,60,45,40,90,70,65,Slow,Grass,,50,20
133,103,Exeggutor,1,Normal,Coconut Pokémon,Grass,Psychic,2,120,Chlorophyll,,Harvest,95,95,85,125,75,55,45,70,186,Slow,Grass,,50,20
134,103,Alolan Exeggutor,1,Normal,Coconut Pokémon,Grass,Dragon,10.9,415.6,Frisk,,Harvest,95,105,85,125,75,45,45,70,186,Slow,Grass,,50,20
135,104,Cubone,1,Normal,Lonely Pokémon,Ground,,0.4,6.5,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,190,70,64,Medium Fast,Monster,,50,20
136,105,Marowak,1,Normal,Bone Keeper Pokémon,Ground,,1,45,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,75,70,149,Medium Fast,Monster,,50,20
137,105,Alolan Marowak,1,Normal,Bone Keeper Pokémon,Fire,Ghost,1,34,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45,75,70,149,Medium Fast,Monster,,50,20
138,106,Hitmonlee,1,Normal,Kicking Pokémon,Fighting,,1.5,49.8,Limber,Reckless,Unburden,50,120,53,35,110,87,45,70,159,Medium Fast,Human-Like,,100,25
139,107,Hitmonchan,1,Normal,Punching Pokémon,Fighting,,1.4,50.2,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,45,70,159,Medium Fast,Human-Like,,100,25
140,108,Lickitung,1,Normal,Licking Pokémon,Normal,,1.2,65.5,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,45,70,77,Medium Fast,Monster,,50,20
141,109,Koffing,1,Normal,Poison Gas Pokémon,Poison,,0.6,1,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,190,70,68,Medium Fast,Amorphous,,50,20
142,110,Weezing,1,Normal,Poison Gas Pokémon,Poison,,1.2,9.5,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,60,70,172,Medium Fast,Amorphous,,50,20
143,110,Galarian Weezing,1,Normal,Poison Gas Pokémon,Poison,Fairy,3,16,Levitate,Neutralizing Gas,Misty Surge,65,90,120,85,70,60,,,,Medium Fast,Amorphous,,,20
144,111,Rhyhorn,1,Normal,Spikes Pokémon,Ground,Rock,1,115,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,120,70,69,Slow,Field,Monster,50,20
145,112,Rhydon,1,Normal,Drill Pokémon,Ground,Rock,1.9,120,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,60,70,170,Slow,Field,Monster,50,20
146,113,Chansey,1,Normal,Egg Pokémon,Normal,,1.1,34.6,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,30,140,395,Fast,Fairy,,0,40
147,114,Tangela,1,Normal,Vine Pokémon,Grass,,1,35,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,45,70,87,Medium Fast,Grass,,50,20
148,115,Kangaskhan,1,Normal,Parent Pokémon,Normal,,2.2,80,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,45,70,172,Medium Fast,Monster,,0,20
149,115,Mega Kangaskhan,1,Normal,Parent Pokémon,Normal,,2.2,100,Parental Bond,,,105,125,100,60,100,100,45,70,207,Medium Fast,Monster,,0,20
150,116,Horsea,1,Normal,Dragon Pokémon,Water,,0.4,8,Swift Swim,Sniper,Damp,30,40,70,70,25,60,225,70,59,Medium Fast,Dragon,Water 1,50,20
